aX,aY,aZ,gX,gY,gZ
-0.133,-0.090,0.995,-27.466,18.921,95.886
-0.136,-0.043,0.962,-26.184,18.982,96.130
-0.156,-0.034,0.969,-26.672,19.714,96.069
-0.156,-0.045,0.943,-28.076,20.752,96.191
-0.166,-0.011,0.954,-32.043,20.996,96.313
-0.173,0.038,0.956,-37.048,20.447,96.802
-0.182,0.051,0.931,-41.565,21.118,97.107
-0.196,0.065,0.885,-43.396,21.973,97.107
-0.183,0.125,0.843,-41.382,21.423,97.229
-0.177,0.199,0.862,-40.527,19.043,97.595
-0.178,0.278,0.841,-40.649,18.372,96.924
-0.184,0.338,0.795,-37.903,17.456,95.764
-0.179,0.412,0.817,-34.668,14.099,94.910
-0.181,0.476,0.885,-29.480,10.498,92.712
-0.168,0.550,0.852,-22.827,10.925,89.844
-0.174,0.625,0.880,-20.874,10.803,85.266

-0.172,0.704,0.859,-27.893,11.230,73.486
-0.168,0.766,0.825,-30.518,11.292,67.749
-0.160,0.817,0.874,-29.968,8.484,62.256
-0.161,0.848,0.866,-27.100,7.629,57.129
-0.162,0.848,0.891,-21.973,6.470,51.208
-0.160,0.858,0.895,-15.808,6.409,45.410
-0.166,0.888,0.866,-9.338,6.348,40.039
-0.159,0.896,0.854,-3.967,4.883,33.386
-0.163,0.899,0.846,-3.174,4.333,26.733
-0.165,0.901,0.868,-5.310,3.235,20.569
-0.161,0.897,0.832,-5.554,3.967,14.709
-0.180,0.877,0.832,-5.188,2.563,9.827
-0.177,0.896,0.827,-5.005,1.648,5.310
-0.192,0.919,0.837,-3.906,0.549,0.671
-0.187,0.913,0.821,-1.465,0.000,-4.517
-0.173,0.901,0.807,1.038,-0.977,-10.681
-0.158,0.876,0.800,4.700,-3.235,-16.541
-0.140,0.884,0.785,6.958,-4.883,-21.362
-0.133,0.898,0.756,7.812,-6.714,-25.452
-0.113,0.901,0.725,8.789,-8.911,-30.884
-0.112,0.882,0.702,10.254,-12.207,-37.048
-0.101,0.837,0.708,11.719,-16.602,-43.945
-0.106,0.780,0.763,12.207,-21.240,-50.720
-0.111,0.697,0.823,13.306,-24.231,-56.763
-0.128,0.629,0.857,14.221,-24.902,-60.669
-0.148,0.584,0.877,15.259,-24.475,-63.354
-0.164,0.542,0.910,16.785,-24.841,-65.918
-0.184,0.507,0.954,18.921,-25.208,-68.481
-0.191,0.468,0.988,22.461,-23.621,-71.655
-0.184,0.430,0.967,26.489,-19.714,-73.914
-0.174,0.410,0.936,28.442,-15.564,-75.623
-0.171,0.361,0.905,29.968,-13.062,-78.369
-0.165,0.301,0.906,31.982,-11.780,-80.811
-0.156,0.270,0.917,34.180,-10.986,-82.031
-0.167,0.242,0.936,36.560,-11.353,-83.191
-0.151,0.204,0.951,39.368,-9.583,-83.923
-0.136,0.183,0.931,41.382,-6.409,-84.595
-0.125,0.164,0.918,41.626,-4.883,-84.106
-0.105,0.139,0.850,39.917,-3.540,-83.130
-0.087,0.129,0.834,35.767,-5.127,-84.351
-0.089,0.135,0.902,28.687,-9.705,-86.365
-0.103,0.095,0.934,21.667,-10.498,-88.501
-0.107,0.042,0.950,14.954,-9.338,-90.942
-0.108,-0.031,0.956,12.817,-10.803,-93.628
-0.118,-0.073,1.048,13.184,-14.282,-95.215
-0.129,-0.102,1.125,6.531,-14.038,-94.910
-0.115,-0.183,1.127,7.019,-9.827,-95.276
-0.097,-0.198,1.105,11.047,-6.226,-94.849
-0.078,-0.223,1.062,15.625,-3.540,-94.543
-0.058,-0.238,1.013,18.372,-2.014,-93.628
-0.051,-0.249,0.975,19.348,-2.258,-92.468
-0.040,-0.296,0.962,16.968,-4.456,-91.919
-0.060,-0.302,0.976,7.385,-6.531,-90.149
-0.063,-0.301,1.007,-4.883,-8.057,-89.844
-0.055,-0.321,1.080,-14.038,-9.521,-90.271
-0.055,-0.312,1.103,-17.517,-8.179,-88.745
-0.023,-0.235,1.053,-14.893,-5.127,-87.769
0.017,-0.194,1.025,-14.343,-4.089,-88.623
0.040,-0.216,0.937,-17.578,-2.625,-91.980
0.057,-0.270,0.907,-27.771,-2.563,-94.116
0.062,-0.261,0.907,-39.978,-3.357,-92.468
0.063,-0.264,0.957,-41.870,-6.714,-90.088
0.092,-0.268,1.057,-36.072,-9.216,-87.219
0.106,-0.249,1.076,-26.550,-8.850,-83.252
0.096,-0.199,1.123,-18.555,-9.949,-80.200
0.061,-0.148,1.139,-14.282,-6.287,-78.491
0.135,-0.147,1.037,-13.916,5.432,-78.796
0.140,-0.214,0.996,-16.052,7.141,-81.116
0.124,-0.285,1.058,-15.686,-0.488,-82.886
0.079,-0.330,1.109,-5.920,2.808,-80.261
0.183,-0.393,0.925,8.606,18.982,-77.942
0.168,-0.473,0.905,18.311,18.250,-74.707
0.159,-0.509,0.897,22.583,13.245,-67.993
0.157,-0.572,0.906,27.161,13.367,-60.120
0.143,-0.659,0.949,33.081,11.108,-52.124
0.120,-0.713,1.038,38.818,8.728,-43.762
0.130,-0.741,1.065,40.649,9.155,-36.377
0.127,-0.768,1.016,37.964,6.104,-29.175
0.092,-0.812,1.080,34.363,-2.625,-21.423
0.091,-0.829,1.044,26.611,-0.122,-12.695
0.069,-0.810,1.058,13.306,2.808,-3.845
0.060,-0.833,1.069,4.639,3.418,2.075
0.069,-0.846,1.057,4.639,4.028,8.423
0.085,-0.793,1.019,7.263,4.761,16.357
0.098,-0.717,0.998,9.827,4.456,23.560
0.101,-0.662,0.979,9.827,4.395,30.579
0.115,-0.604,0.960,5.310,4.333,38.147
0.110,-0.574,0.946,-1.038,3.967,44.250
0.115,-0.540,0.969,-6.042,3.052,48.828
0.117,-0.490,0.995,-7.568,1.465,53.589
0.110,-0.423,0.976,-9.033,1.953,58.594
0.103,-0.363,0.970,-11.902,2.197,62.378
0.104,-0.342,0.961,-10.132,0.793,63.904
0.104,-0.342,0.959,-5.371,-0.732,65.369
0.089,-0.337,0.940,-3.662,-1.221,68.054
0.079,-0.324,0.930,-4.639,-1.892,71.716
0.068,-0.283,0.918,-7.935,-2.258,76.111
0.049,-0.242,0.928,-15.808,-2.136,80.383
0.030,-0.226,0.953,-24.109,-1.648,83.008
0.013,-0.225,0.964,-26.978,-1.404,85.022
-0.001,-0.258,0.958,-23.621,-1.465,87.524
-0.023,-0.308,0.920,-16.663,-2.197,91.614
-0.045,-0.340,0.889,-9.277,-3.967,97.534
-0.073,-0.279,0.887,-2.625,-7.507,104.858
-0.066,-0.175,0.883,6.104,-12.268,111.389
-0.071,-0.094,0.856,9.644,-20.996,115.356
-0.113,-0.011,1.086,-0.183,-25.879,115.784
-0.109,0.047,1.083,-9.888,-14.526,115.295
-0.121,0.096,1.218,-21.240,-10.437,113.220
-0.134,0.110,1.275,-27.588,-1.709,108.582
-0.120,0.111,1.223,-27.893,10.803,105.286
-0.134,0.129,1.180,-27.893,17.578,103.210
-0.138,0.139,1.084,-27.649,22.949,101.501
-0.148,0.100,1.023,-26.245,26.367,100.769
-0.154,0.037,0.980,-23.315,27.893,102.173
-0.175,0.020,0.959,-18.066,26.978,105.286
-0.174,0.036,0.960,-9.033,24.719,107.727
-0.172,0.047,0.957,3.357,21.545,110.046
-0.165,0.081,0.926,14.771,19.470,113.220

-0.148,0.316,0.985,24.475,13.428,117.615
-0.130,0.463,0.992,23.193,13.306,115.051
-0.121,0.499,1.029,11.292,13.611,107.605
-0.103,0.485,1.067,-6.104,16.663,98.267
-0.104,0.479,1.067,-19.592,22.339,90.576
-0.098,0.437,1.047,-28.625,27.771,84.778
-0.108,0.426,0.979,-34.180,34.241,81.116
-0.113,0.472,0.880,-33.508,37.292,78.491
-0.104,0.500,0.802,-29.419,35.339,76.355
-0.094,0.520,0.751,-24.292,31.006,73.853
-0.078,0.589,0.763,-19.958,25.879,71.960
-0.072,0.661,0.786,-13.855,20.935,69.214
-0.052,0.741,0.769,-6.042,16.907,65.186
-0.038,0.776,0.782,0.061,12.634,59.570
-0.019,0.848,0.806,0.183,10.437,54.688
-0.012,0.953,0.817,-4.639,9.155,49.805
-0.016,0.995,0.800,-12.085,8.545,42.664
-0.027,0.986,0.821,-19.287,7.019,33.752
-0.046,1.001,0.823,-22.156,6.104,26.184
-0.057,1.029,0.819,-18.311,5.432,18.677
-0.053,1.055,0.811,-10.620,3.967,10.925
-0.045,1.047,0.765,-2.502,2.869,2.930
-0.040,1.010,0.705,2.930,1.099,-3.235
-0.036,0.975,0.673,5.432,-1.831,-8.850
-0.032,0.954,0.666,7.629,-5.432,-14.526
-0.005,0.935,0.623,9.827,-8.911,-19.958
-0.017,0.872,0.644,11.963,-16.602,-26.062
-0.015,0.825,0.644,10.864,-21.179,-32.166
-0.026,0.784,0.680,9.583,-25.696,-37.659
-0.042,0.739,0.753,9.705,-30.579,-42.908
-0.057,0.684,0.754,10.437,-30.640,-47.180
-0.076,0.652,0.811,9.583,-32.654,-51.392
-0.090,0.620,0.865,7.690,-33.875,-55.420
-0.109,0.556,0.912,5.432,-33.386,-59.448
-0.121,0.504,0.970,3.845,-32.349,-62.927
-0.131,0.439,0.994,5.920,-30.701,-65.674
-0.124,0.407,0.995,9.216,-28.687,-67.261
-0.122,0.385,0.970,12.695,-26.917,-68.909
-0.118,0.350,0.961,15.259,-26.001,-71.106
-0.117,0.327,0.994,16.479,-25.208,-73.486
