aX,aY,aZ,gX,gY,gZ
-0.156,-0.332,0.996,-10.132,92.163,5.920
-0.154,-0.337,0.925,-7.080,93.018,6.165
-0.125,-0.355,0.856,-2.563,92.773,6.042
-0.101,-0.365,0.808,1.038,91.003,6.042
-0.070,-0.370,0.781,2.380,89.294,8.240
-0.052,-0.328,0.765,1.465,87.280,10.925
-0.033,-0.269,0.771,-1.038,84.595,12.146
-0.007,-0.243,0.780,-2.563,82.092,11.597
-0.004,-0.261,0.792,-2.319,80.627,10.620
-0.001,-0.242,0.772,-2.563,81.238,11.353
0.017,-0.201,0.766,-1.831,80.994,11.169
0.028,-0.216,0.726,0.122,79.956,10.864
0.057,-0.179,0.695,1.221,79.834,10.620
0.061,-0.170,0.650,1.221,77.148,10.376
0.086,-0.155,0.647,-0.183,73.853,9.644
0.109,-0.178,0.652,-2.136,71.472,9.338
0.121,-0.183,0.655,-3.723,71.289,10.681
0.140,-0.146,0.639,-3.540,71.411,12.695
0.166,-0.168,0.628,-0.183,70.068,13.062
0.181,-0.164,0.582,2.502,68.726,13.550
0.188,-0.116,0.516,3.174,67.139,13.855
0.188,-0.120,0.484,3.845,62.622,12.939
0.191,-0.095,0.491,3.235,57.861,12.512
0.216,-0.085,0.495,2.991,53.772,12.268
0.252,-0.077,0.510,3.662,50.598,12.329
0.269,-0.073,0.484,1.282,50.354,12.695
0.276,-0.135,0.506,-3.784,51.147,13.306
0.301,-0.016,0.466,-8.789,51.819,13.794
0.322,-0.066,0.429,-7.935,51.697,12.878
0.343,-0.007,0.378,-5.737,50.354,12.573
0.358,-0.012,0.279,-2.563,48.706,12.695
0.328,-0.800,0.391,-0.977,45.532,12.756
0.402,1.828,-1.353,-16.663,91.858,39.429
0.407,-0.242,0.431,40.710,103.149,33.447
0.568,-0.216,-0.143,19.226,36.926,3.845
0.501,0.074,-0.110,7.324,23.132,14.954
0.590,0.093,0.026,6.897,15.076,12.634
0.594,0.083,0.002,6.714,8.118,7.751
0.606,0.052,-0.058,6.958,4.883,5.371
0.629,0.071,0.017,5.066,-2.197,2.502
0.629,0.081,0.049,5.127,-8.301,0.183
0.636,0.071,0.057,7.874,-12.451,-1.709
0.632,0.055,0.101,7.874,-17.639,-3.479
0.626,0.036,0.162,6.470,-21.851,-4.700
0.618,0.057,0.231,4.944,-24.780,-5.127
0.602,0.062,0.229,5.859,-27.344,-5.737
0.577,0.049,0.209,5.554,-30.151,-6.531
0.552,-0.005,0.203,2.869,-33.875,-7.385
0.512,-0.026,0.235,-1.526,-38.330,-6.836
0.480,-0.016,0.288,-4.517,-43.030,-6.042
0.448,-0.037,0.331,-4.089,-47.058,-6.531
0.431,-0.037,0.354,-1.892,-50.415,-7.324
0.432,-0.054,0.363,0.732,-54.321,-9.155
0.420,-0.091,0.384,1.648,-58.838,-11.353
0.388,-0.119,0.422,-1.160,-63.171,-12.268
0.362,-0.117,0.457,-3.296,-66.284,-12.573
0.348,-0.132,0.471,-2.258,-69.275,-13.489
0.332,-0.156,0.459,-0.854,-72.144,-14.282
0.311,-0.171,0.466,-3.479,-74.829,-14.893
0.262,-0.180,0.521,-10.254,-77.881,-14.465
0.204,-0.163,0.609,-17.273,-80.872,-13.672
0.180,-0.154,0.723,-19.958,-84.534,-14.282
0.150,-0.161,0.818,-19.470,-87.341,-16.235
0.120,-0.166,0.838,-18.860,-85.999,-16.724
0.121,-0.179,0.871,-18.677,-84.229,-17.273
0.107,-0.231,0.892,-15.503,-84.229,-18.066
0.094,-0.237,0.894,-12.085,-83.374,-17.395
0.072,-0.220,0.896,-8.606,-83.557,-16.724
0.038,-0.228,0.890,-5.127,-84.412,-17.334
0.000,-0.221,0.903,-5.188,-85.815,-16.968
-0.014,-0.210,0.934,-7.141,-87.097,-16.663
-0.037,-0.221,0.961,-8.850,-87.830,-16.113
-0.056,-0.257,0.997,-10.437,-87.402,-15.137
-0.064,-0.280,1.043,-9.521,-86.853,-13.611
-0.059,-0.267,1.083,-3.967,-86.243,-11.719
-0.056,-0.265,1.052,4.883,-84.534,-10.864
-0.069,-0.253,0.970,10.498,-81.726,-9.949
-0.097,-0.226,0.901,8.423,-80.933,-9.399
-0.140,-0.212,0.963,2.075,-83.435,-11.108
-0.145,-0.237,0.864,-1.404,-80.017,-10.437
-0.200,-0.211,1.030,-7.263,-85.876,-10.010
-0.198,-0.197,1.047,-2.808,-88.257,-10.925
-0.201,-0.268,1.084,6.348,-87.402,-13.062
-0.207,-0.277,1.078,8.667,-83.862,-11.536
-0.229,-0.201,1.127,6.287,-81.421,-9.033
-0.215,-0.196,1.072,9.949,-78.491,-9.827
-0.212,-0.211,0.962,12.878,-74.890,-10.803
-0.237,-0.194,0.983,8.972,-79.712,-12.695
-0.212,-0.172,0.997,5.310,-82.458,-14.221
-0.234,-0.233,1.028,4.944,-83.862,-15.991
-0.244,-0.284,1.083,3.479,-83.862,-15.808
-0.251,-0.250,1.234,-5.554,-84.534,-14.160
-0.278,-0.232,1.342,-12.207,-80.383,-12.024
-0.314,-0.230,1.441,-12.695,-75.806,-10.437
-0.331,-0.205,1.522,-8.240,-71.472,-9.583
-0.359,-0.190,1.521,-0.488,-66.589,-9.399
-0.350,-0.204,1.454,10.193,-60.608,-10.620
-0.350,-0.227,1.426,14.648,-57.251,-12.024
-0.363,-0.278,1.409,12.878,-53.711,-12.634
-0.390,-0.359,1.381,10.376,-52.124,-13.550
-0.412,-0.372,1.430,5.798,-51.331,-13.611
-0.379,-0.411,1.425,2.075,-47.546,-9.216
-0.432,-0.341,1.448,0.122,-40.894,-4.761
-0.425,-0.321,1.512,-5.127,-40.222,-2.930
-0.437,-0.315,1.607,-6.775,-36.560,-2.014

-0.430,-0.270,1.758,-2.075,-28.625,-0.061
-0.419,-0.255,1.780,1.404,-21.729,0.305
-0.413,-0.244,1.773,2.258,-13.123,0.610
-0.417,-0.250,1.750,1.343,-4.883,0.427
-0.425,-0.283,1.705,0.610,2.502,0.854
-0.435,-0.298,1.675,-0.916,9.216,2.502
-0.442,-0.306,1.623,-1.099,14.771,4.333
-0.442,-0.316,1.599,0.916,17.761,5.371
-0.438,-0.316,1.597,2.441,20.264,6.592
-0.424,-0.297,1.596,2.502,23.621,7.996
-0.414,-0.270,1.598,1.282,27.771,9.094
-0.407,-0.274,1.566,0.305,33.936,9.766
-0.395,-0.292,1.530,0.793,39.734,10.376
-0.382,-0.297,1.501,0.061,45.166,11.719
-0.373,-0.259,1.480,-1.221,50.415,13.794
-0.356,-0.242,1.443,1.099,54.565,14.526
-0.340,-0.218,1.370,4.456,58.472,14.648
-0.322,-0.223,1.316,5.676,61.157,14.038
-0.298,-0.217,1.292,5.005,63.293,13.977
-0.279,-0.201,1.258,4.395,65.369,14.343
-0.266,-0.222,1.191,4.272,67.078,14.648
-0.259,-0.194,1.165,1.648,68.054,14.832
-0.241,-0.160,1.220,-1.404,67.871,14.526
-0.231,-0.168,1.201,-1.770,69.641,13.550
-0.212,-0.159,1.186,-2.258,71.838,12.634
-0.196,-0.185,1.159,-2.197,73.975,11.047
-0.187,-0.208,1.114,-3.296,76.599,10.498
-0.181,-0.196,1.111,-5.981,77.759,10.681
-0.182,-0.201,1.087,-5.127,77.881,9.766
-0.178,-0.212,1.084,-3.540,77.881,8.972
-0.167,-0.188,1.061,-1.831,78.552,8.789
-0.142,-0.172,1.059,1.404,78.308,7.263
-0.120,-0.187,1.036,2.991,79.285,5.493
-0.109,-0.211,1.002,-0.916,81.665,4.456
-0.112,-0.244,0.979,-7.446,83.801,4.211
-0.108,-0.243,0.983,-12.085,84.106,3.845
-0.095,-0.254,0.996,-13.184,83.435,2.869
-0.081,-0.265,0.976,-12.024,83.313,2.563
-0.070,-0.257,0.943,-11.292,83.496,2.869
-0.060,-0.219,0.915,-12.146,83.252,2.808
-0.038,-0.221,0.893,-11.841,82.214,1.526
-0.009,-0.227,0.856,-11.169,80.933,0.244
0.010,-0.250,0.828,-12.085,79.468,-0.488
0.015,-0.223,0.831,-15.686,78.247,0.305
0.026,-0.194,0.852,-18.311,76.904,1.038
0.029,-0.215,0.815,-16.174,76.050,1.526
0.039,-0.188,0.795,-14.526,74.707,2.869
0.054,-0.112,0.821,-12.390,71.533,4.150
0.088,-0.085,0.800,-4.333,67.993,2.930
